[E 2026-04-15 15:18:14,199 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 15:18:14,725 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 15:18:15,248 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 15:18:15,774 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 15:18:16,300 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 15:18:16,825 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 20:26:32,404 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 20:26:32,916 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 20:26:33,426 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 20:26:33,941 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 20:26:34,453 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
[E 2026-04-15 20:26:34,967 /Users/quentin-tu/Documents/247_strategy/.venv/lib/python3.10/site-packages/shioaji/shioaji.py:243:_setup_solace] RequestException URLError(gaierror(8, 'nodename nor servname provided, or not known'))
